nomePesquisado,nomeRetornado,aceitoSinonimo,sinonimoDe,baseDados,familia
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,NOME_ACEITO,,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rhizantha Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. genuina Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae
Eichhornia azurea,Eichhornia azurea var. rigida Seub.,SINONIMO,Eichhornia azurea (Sw.) Kunth,FDB,Pontederiaceae